Path id,English,Sir (cyn 1974),1951%,1961%,1971%,1981%
4252,Angelsey,Sir Fôn,79.8,75.5,65.7,61
4216,Breconshire,Brycheiniog,30.3,28.1,22.9,19.3
4286,Caernarfonshire,Sir Gaernarfon,71,68.3,62,59.7
4230,Ceredigion,Sir Aberteifi,79.5,74.8,67.6,63.2
4212,carmarthenshire,Sir Gâr,77.3,75.1,66.5,60
4258,Denbighshire,Sir Ddinbych,38.5,34.8,28.1,24.2
4246,Flintshire,Sir y Fflint,21.1,19,14.7,13.5
46,Glamorgan,Sir Forgannwg,20.3,17.2,11.8,10
4248,Merionethshire,Sir Feirionnydd,75.4,75.9,73.5,68.2
34,Monmouthshire,Sir Fynwy,3.5,3.4,2.1,2.7
30,Montgomeryshire,Sir Drefaldwyn,35.1,32.3,28.1,24
4210,Pembrokeshire,Sir Benfro,26.9,24.4,20.7,18.1
4228,Radnorshire,Sir Faesyfed,4.5,4.5,3.7,5
,,Cymru,28.9,26,20.8,18.9
